timestamp,site_id,device_id,terminal_type,latitude,longitude,latency_ms,packet_loss_pct,snr_db,rssi_dbm,throughput_mbps,status
2026-06-12T08:00:00+07:00,PSN-JKT-GW01,GW-JKT-01,gateway,-6.2088,106.8456,612,0.8,12.4,-74,82.5,ok
2026-06-12T08:05:00+07:00,PSN-JKT-GW01,GW-JKT-01,gateway,-6.2088,106.8456,640,1.0,12.1,-75,80.1,ok
2026-06-12T08:10:00+07:00,PSN-KAL-RT12,RT-KAL-12,remote_terminal,-0.5022,117.1536,910,4.2,7.2,-91,18.4,degraded
2026-06-12T08:15:00+07:00,PSN-KAL-RT12,RT-KAL-12,remote_terminal,-0.5022,117.1536,955,5.1,6.8,-93,15.9,degraded
2026-06-12T08:20:00+07:00,PSN-PAP-RT03,RT-PAP-03,remote_terminal,-2.5489,140.7197,780,2.5,8.6,-86,22.0,ok
2026-06-12T08:25:00+07:00,PSN-PAP-RT03,IOT-PAP-77,iot_gateway,-2.5489,140.7197,820,3.4,8.1,-87,10.8,degraded
2026-06-12T08:30:00+07:00,PSN-NTT-RT07,RT-NTT-07,remote_terminal,-10.1772,123.607,590,0.5,13.0,-72,30.5,ok
2026-06-12T08:35:00+07:00,PSN-NTT-RT07,IOT-NTT-21,iot_gateway,-10.1772,123.607,615,0.7,12.6,-73,12.1,ok
2026-06-12T08:40:00+07:00,PSN-SUL-RT02,RT-SUL-02,remote_terminal,-5.1477,119.4327,700,1.8,9.3,-84,26.7,ok
2026-06-12T08:45:00+07:00,PSN-SUL-RT02,IOT-SUL-49,iot_gateway,-5.1477,119.4327,875,3.7,7.6,-89,9.4,degraded
2026-06-12T08:50:00+07:00,PSN-ACE-RT09,RT-ACE-09,remote_terminal,5.5483,95.3238,560,0.4,14.1,-70,28.8,ok
2026-06-12T08:55:00+07:00,PSN-ACE-RT09,IOT-ACE-18,iot_gateway,5.5483,95.3238,585,0.6,13.7,-71,11.6,ok
